id,text,author.id,author.public_metrics.followers_count
b'gAAAAABkk1QzXRXkQGpub_6dYV6sr6W3FecITEmiTM0y1NGz4dUvjtIv_yPOlir3yhgv_pEiiclfejxzbOXcM83XQCKcjTVJ62tGiA4qCZtCvmJ83s-ZDvA=',"Wenn es vorher gesagt wurde, dann hat ja der die Chance auch Vegan zu kochen  #dasperfektedinner",b'gAAAAABkk1QzCyLO1UJsj28XJcbqONc6aLXXhCn5jxBEPLtj5xd7X8XMd6fG9P5Fk4mWfTMDwxinYAtXbaRJC5gNi4QVMEXCeNWylbMZ3ui47kolaZbwJ2w=',228
b'gAAAAABkk1QzsIDfuCU6uHsRmDIN6hIhGqo9mxI3ihOVYucYl_GA2dAdA7_aeEqnBGjsWBUUiZKimyK7KrkEc5tFCBdaDU09AuJW5rSxGlwz1dgKBYWdZ1Y=',@KopietzAndreas bei den ganzen Tofu Torbens und Soja Sonjas bekommt man ja richtig Angst. \nWarum so wenige? Hängen die anderen noch am veganen Büffet in der Kirche und hatten keine Lust?,b'gAAAAABkk1QzG-jeJ8b-MGpokg-vIl0h7T4pCa4Hnbw6PMnpH0NsAJTehfHLPZC2UcLFOjaDwMkdhfRKknFOOv7VSPTm20NWQdVNS9G4UMucvMqTLPI_cq0=',66
b'gAAAAABkk1Qz5f-il0wc893EfWhoeC-NfuytH2UYC_nDuSV6OcFb5aVk5XOoGuDPDgtOfrUskiwx05n3JiMz_IQSvyidIdDLOzpaEDJu1y6vYYaUTqvJVGc=',"@KauftKoerrie Nun ja, für den Anfang nicht schlecht. Allerdings würde ich dir - nach meinem aktuellen Test - von U80 ganz ohne Käsetortellini mit (veganem) Knoblauchhühnchen, frischen braunen Champignons, Paprika, Tomate, Grana Padano &amp; Frühlingszwiebeln dringend abraten. Sehr dringend!",b'gAAAAABkk1Qzv_t69CEEXdlYkfsFeLG2l6Cf02j6laHYamyOGSsjl-3Zp4eRoudxX6AAKEJgw3uI00N9VfOY0mQqD6lfsNRSBg==',1366
b'gAAAAABkk1Qzii8BJtPSxUy-1ky14t8gWpzlPu5IpmotapjMfk-wHD-TtB6pDMATuVWzf2mjGIBJJmKZVXm_JnUYLOgxT3AM1DICX7xmM6NRcR0G8ovzGHQ=',@VeganCardio @Flokugrafie Das ist wirklich skandalös u saublöd aber irgendwie auch wieder egal. Schön dass du da bist. Danke für die Homepage vegdocs!!! Habe selber in Berlin neulich eine vegan freundliche Arztpraxis gesucht u über eine ChatGruppe dann gefunden. Schon mal überlegt zu Mastodon zu wechseln?,b'gAAAAABkk1QzVVrhzUjHv_p4e1bXWqug-_cS2lwUYjPg_68Y7pEv-jbsr_2UdZr38NRSBYiBYgTl_bs6pR5whpXj_1IP6FRcUw==',517
b'gAAAAABkk1Qzo5WfpTDRJQK0v5wNZkAs6ZgjYAYQM8_B8J7AMFU1fmmdUa75VZErB-bIx37Oe4wZVkgXiioaVeei6DRyFLhS8QGSkhpYhXi8o3Ogi5MkcAE=',"@SerapGueler Wie wollen diese beiden veganen Soldaten unser Land schützen wenn keine Munition vorhanden ist, vegane Fleischbälle auf den Gegner werfen?",b'gAAAAABkk1QzeswdCF15fuPs5aoKNlRjlf4p22aDBwbMjoaVRLDIZ-eg1Z6faDYB_GI_8iCui4Pf9fWfCrimyN9f8clOt3mrvrP_blmHV39YWYGav9uzIME=',3157
b'gAAAAABkk1Qz-ilJsH2vxCSxlxAsOb3Ot0TsfqNWLylEhi0ZWLg6GcmlZ9iZE9T7M-2PgOYWrhlZOZKu0YSWIy0mgE_lCw56pbipZUAzRzLV-riqH19P_ik=',"Veganismus ausgedribbelt, natürlich nur echt mit gekauftem blauen Haken https://t.co/zaV4BdiUnz",b'gAAAAABkk1QznFeguA2RuWwwtuSaZByKlnR_IXGLrVCicAFVjoG-6lhLJswryABLRJfix2jXwOEUoX5AbbgV1lM4ZDtq_0qTUQ==',229
b'gAAAAABkk1Qz1gJt0TZzrdDk7IiXbau7Iip77LMIN8VuZfXKvhRWL_5oVgVd7hmzRR0qY1c8bZGNBIGCDG_7_HIQrgRbpqFhCnJ4OkK85a16JrG0gfw9leI=',"""Der Faschismus ist der Gleiche geblieben, nur die Opfer sind unterschiedlich"" sagt die ""Militante Veganerin"" in einer Gleichsetzung des Holocausts mit der Tierindustrie.\n\nFür die Relativierung der Shoa bietet @TwitchDE selbstverständlich eine Monetarisierungsplattform. https://t.co/UZO4LIlaiV",b'gAAAAABkk1QzF3JDnBYPqAv_srcqzfcF98MVuAIMo7pYcL10ONfHcgPGERbssn8GD6MqXasBsP_sFD_XqUSMZjoS2Tosc8umqQ==',9418
b'gAAAAABkk1Qz54d8lQJt-k6TsDBJrxcg3msCGxe6hlmpPZ-CMkXYqyg4lcq9DQfIqnQpe-Gb75xhiiC52vZUOMfJL3Ca9Jb5Gq7C8MFwpcycxWcxsGBe6nQ=',"@HansUnland @dockyyyyyyyyy Ich halte ja die Aufschrift ""vegan"" bei Apfelsaft für eine Lüge. 🤡😈",b'gAAAAABkk1QztnFrMItUwmX00F1ssKfcBMOQgYi4AM4saU3oEg624p9jtZxN0zRhnxyE9OomkqrWcLnrS-Pc7KC_yPxh5_aU8Q==',1041
b'gAAAAABkk1Qz7IV78Hp3yEqKX9H0V0ZxYfPir-v3XXWFW8zLUojBf5Y_qVTGXlrnSXp_WKlF0zKCu2n-2s3GMI2gsiymZ-o8G3AQ2RB9NIKJUbBwxj246qo=',"@bine_delvalle Wenn diese Camembert, Wurst und Salami vegan sind hätte ich gerne die Marken. WOW!",b'gAAAAABkk1QzAHmeXom9zHikI9RFO8-Xr4xdNRHUwQ1L5pA-femj9bOu_xMKAN7eDApZreY67des75node1Frx-VTVy9zjynHA==',970
b'gAAAAABkk1QzqybPPQTTurtoV6uOXab5tfnl6TJXOZ_b3i7ty-vvWE6F24bD0U42UFbY5iJ218hqh0OzOygMOlzwgnp2bMnJMjOutfbBMKN0G8RLtVVUeFU=',"Wollte Kichererbsenpasta mit Tofu, Tomatensoße und Rucola machen. Beim Kochen unnatürlich Bock auf Ananas bekommen und naja, jetzt irgendwie Tofu-Pfanne mit Ananas, Rucola und Chili 😍\n\n#veganfood #plantbasedfood https://t.co/2ownDMQq8J",b'gAAAAABkk1QzD7tg3fX_2kiSci2Yqp0-wHZGCFsInpNaJrHbTvcgmmn9Ke8SaaSxL7TxmE2vrhmVRTv1kUxZNGvf6FgWZMOjH4-ZXT-ZJryqc5lF68rALuo=',37
b'gAAAAABkk1Q0lQ9cXELaJh4NEuvhAdo0BsFtbGfkKK5nbpC3AUigWS3JOpFZVymKU4qjyNLmYO63GZx4oZicSDXcFqi3WakSw4bB6rioAqPJhrM878z7AB4=',Hatte heute einen veganen Caesar Salad und swi das war das ekligste das ich seit langem gegessen habe https://t.co/8zyutdkmNK,b'gAAAAABkk1Q087RzQ1LH9DIlvKg5he_3sCsYpigh2L5ttbfx311llwNMoEx8vJqn8eRTpp8HpyiGc0NubenZKU8tBBuaDLH_2ER0vLis0atfysKc3_Gp1cM=',999
b'gAAAAABkk1Q0SndT4jHPNhtqz1RRQBYaf2GlN72BGzhR5vtZPoxNoahLz-B9pvTZhHJEWGPfkpMIz1mL5qQeKY2LgZqF8fqiVJfV7JA4X9cbCMfL9DwWpFk=',"@hagebuttenwolf @genietervan Hier nur ein Bananenbrot, natürlich auch vegan, aber vielleicht nicht ganz so lecker?",b'gAAAAABkk1Q0KDrhN_Dlz5QU-MkOXgwkjda9blhnhQELyty4TSA2kv1Kdwsu5KPtDr08XhSGubg7EDMSoJgZEF5yWE3UQEhqfg==',2998
b'gAAAAABkk1Q0n6YKfaJw2JwYcLpZR574HtZcFam5tmSySi1GG8CJoxFXOjk-7PFwXCNIit9wwTbYk_6ZPEkpFzy9VB6Aim_I003t8WaJr4CbkPpwjZ7ti4k=',@roggi_ultra_no1 Aber die vegane Weißwurst ist mehrwertsteuerfrei. Söder jagt die AKWs eigenhändig in die Luft aus Protest dagegen,b'gAAAAABkk1Q05B3pHdwVV9idc6nu0k-qQyuL22nAN0oUAcCflqZnKA7ZyYd2z46KPNKgy4IaOcxLPNYWcMesXvrCqmDFxl8C6Q==',3127
b'gAAAAABkk1Q01eN2vuOAcu3sEvgiP9hscwO_QPEFP4z-5XrQ3kXu-5EjEQ-GZ6CDIX10_ZP9qi37mPp5RHzwbDPyNPhxEfFTXWjfjTpapZALCwJB1Dv3U7w=',"Ich sitz bei Ben und Jerry's in Clearwater, Florida und esse genüsslich ein veganes Eis, während im Radio Linkin Park läuft.\nDen Moment bitte einmal in ein Einmachglas zum mitnehmen 🥰\n\n#MaianaHoliday",b'gAAAAABkk1Q0mI9KgwW7VKhtsTYNkfNUEwAyb4WDMokoMNX77V-u8WQtnSg7A_XTRWuNw4BPattWOc0Q5cyiwZbX6Iufo1TqAQ==',280
b'gAAAAABkk1Q0Z2GQwJB9ucoXmC6Az4rg4LBSDms_uolCp5kjoUN9dPTAzNrFgFpELDOR3qcTXmDaZCX_oNLblki6fjYqxkpjuXb_2W0hGIXCvzdWfPLAHB8=',@justthore Nix für Veganer,b'gAAAAABkk1Q0DENQqBdqCEE4jaxxxCkDyiVPat6X-k7jsICboOs6LiE9VdEkPdEL88F9SJWd4H2zWQjLV0DI1kMODC-xEnEKwA==',549
b'gAAAAABkk1Q03g1toD7HPHZt6iLQDex0AdqUSpBiFuK1uKml_jGBdF2Hs9UEYpDVqP5F0URqYtTK3D1655AlgHolSQfqL2sANJkm9wU4uE8krQWPbCN17Y0=',"Ist man Hetero, ist es falsch\nIst man ein Teil der LGBTQ+, ist es flasch\n\nIsst man Fleisch, ist es falsch \nIst man vegan, ist es falsch\n\nFazit für mich:\nIch bin falsch, so wie ich bin\n\nSee ya",b'gAAAAABkk1Q0KyDAAFgn7Jkl-cyDwaN-71ED06xqMtET5i5PDwTyU1pRzybnL2FFfRLi7nEK45oJ3qxJUE6Ap-DtmJQuqfBlDImB0vQlD7wlZGfPVMVbG8s=',547
