id,text,clean_text,eng
b'gAAAAABkk1GUZvRdNAIklEBPVjZ5WKMIolPN935kvdc7aheNav28sgUa-57LqoNT8anrTFPicv3eeM9oQ0pmy7IaJ4V0XrMVlLr-VPPvzvimCyTqbD3-oug=',@JoseCarral3 El vegetarianismo ayuda a combatir a esta gentuza.,el vegetarianismo ayuda a combatir a esta gentuza,Vegetarianism helps to fight this gentuza
b'gAAAAABkk1GUenvuePokwYGDmW3nnkMGW2a53eTbyfaUJcC1dZZVfeGscDgR4AzAre-nTCn2F72xcoas6bEP85deSRIEnmpUMsB-LCila9dQUmTDD2CRP5A=',@Laurazul29 Jajaja mejor no digamos nada que sacará un estudio de que las estatuas también sienten para refutar a los veganos.,jajaja mejor no digamos nada que sacará un estudio de que las estatuas también sienten para refutar a los veganos,Hahaja better not say anything that will bring out a study that statues also feel to refute vegans
b'gAAAAABkk1GUc6dSvTS29-HrgrFPXDJPDowYSl1dL-fKoW39euR6dsKCLc-2fm1foNPnrBEDGKn1Rrs5bQeWlW7FvTKbzWtLtexWtuWUaThL_VYOyRlikpI=',@nutrinsumiso @SaikoElArtista Joder pues los veganos debemos vivir en un mundo paralelo porque a mi los que me dan la brasa con preguntas incómodas de por que no como carne son los que sí la comen,joder pues los veganos debemos vivir en un mundo paralelo porque a mi los que me dan la brasa con preguntas incómodas de por que no como carne son los que sí la comen,The vegans must live in a parallel world because to me those who give me the ember with uncomfortable questions why not like meat are the ones who do eat it
b'gAAAAABkk1GUf-1SylwljYQmlN4J4_q2FM5CohAf4Jh9D4StxK3KZV16plyYUy5KzTVo0CbjDcbcoi81KpqaFY8h7CJ-QnDXTqB271p99RwsGeQX25mX_p0=',"Dejad de hacer ese tipo de chistes a gente vegetariana/vegana o lo que sea que sois unos pvtos pesados, por favor, que no hacen gracia, que nos los están haciendo todos los días, que nos dejéis en paz de una pvta vez",dejad de hacer ese tipo de chistes a gente vegetarianavegana o lo que sea que sois unos pvtos pesados por favor que no hacen gracia que nos los están haciendo todos los días que nos dejéis en paz de una pvta vez,Stop making those kind of jokes to vegan people or whatever it is that you're heavy pvtos please don't make fun that they're making them to us every day you leave us alone for once
b'gAAAAABkk1GUYpKz50REO4Qr4yVhWXkGhotxj5_6AwUhH43G39BZM4Y1dZxJ2CnrADhYQE34EG1vQ95ToaKzgtuIKnVSa2NlK7yhp7bRQDK5m-S-wpZMYJw=',@PauAlexPincel Lo entiendo y lo siento. Mi experiencia sin embargo ha sido comprobar que la gente se ofende y se siente atacada simplemente por el hecho de elegir una opción vegana en el menú de un restaurante al que vas con amigos\nYo no suelto discursos a no ser que me los pidan\nSin ataques 💚,lo entiendo y lo siento mi experiencia sin embargo ha sido comprobar que la gente se ofende y se siente atacada simplemente por el hecho de elegir una opción vegana en el menú de un restaurante al que vas con amigosyo no suelto discursos a no ser que me los pidansin ataques,I understand it and I'm sorry my experience however has been to check that people are offended and feel attacked simply by the fact of choosing a vegan option on the menu of a restaurant you go to with friends I don't loose speeches unless they ask me without attacks
b'gAAAAABkk1GUv3SKRh8IKprWk7_lloPqSM3JBGbU3ZDBi6SSswRkn4dE6vHaWC_gFRk88UDumMfwOhOQDkJxcnaIBQpacp6fqB6mzaEe3WL__9OfnmpxcnM=',"Con razón, acabo de ver que terminamos en el mismo chat. Y además un vegano del otro grupo con el que ya no me llevo, les dije que mis sueños me predicen todo. https://t.co/2DGyyUWMGj https://t.co/Jiw8L1hin4",con razón acabo de ver que terminamos en el mismo chat y además un vegano del otro grupo con el que ya no me llevo les dije que mis sueños me predicen todo,No wonder I just saw that we ended up in the same chat room and also a vegan from the other group that I didn't take anymore told them that my dreams predicted everything to me.
b'gAAAAABkk1GUnuHUR0ObMXvfQVR3D9uQl1YptXF8RY9qm52Huo4Q6WkYYuqg8myZAnyUvJ82nAhDtk9Ia1VY47D8iPYA9LTzmPLZJ1kD10m5cmqW95OSWK4=',"@ivonveg9 Correcto, el tipo nunca fue vegano.",correcto el tipo nunca fue vegano,Right. The guy was never vegan.
b'gAAAAABkk1GUCXgAHTjqEiOH4kTtCGyt4TbByEpYtGAUEdzbCQXQ3Zfc8IounTEiXf0ntUn6Pu471ppoQXC0RVD_9rjEd2F45a1B9h37dS1jvhcRE7HOFp8=',"@libertad_vegana Yo tampoco suelo usar ese término para definirme, pero esta misma semana conversando con dos veganos por separado, me decían que mis argumentos son sensocentristas y no veganos. Y no quise entrar en detalle porque no era el tema de la discusión, pero si me generó mucha curiosidad",yo tampoco suelo usar ese término para definirme pero esta misma semana conversando con dos veganos por separado me decían que mis argumentos son sensocentristas y no veganos y no quise entrar en detalle porque no era el tema de la discusión pero si me generó mucha curiosidad,"I don't usually use that term to define myself either, but this very week talking to two vegans separately told me that my arguments are sensocentric and non-vegan and I didn't want to go into detail because it wasn't the subject of the discussion but if I was very curious"
b'gAAAAABkk1GUHEag_3nJw9sQORbdRjwnNOVx6PMWDr_DTO-KT_DMwJbtM46gpRpQ1xmhF1_d0IUZvsJWzWzL9K6giSi0nN-GoKXHKXlFnxsZbt7zLU_4nag=',"@protoc0re Los cultivos de los que hablas, están destinados en su mayoría a alimentar a las pobres vacas de la industria cárnica. El veganismo consiste en no contribuir al maltrato y sufrimiento animal, a ver si nos vamos enterando un poco de la fiesta.",los cultivos de los que hablas están destinados en su mayoría a alimentar a las pobres vacas de la industria cárnica el veganismo consiste en no contribuir al maltrato y sufrimiento animal a ver si nos vamos enterando un poco de la fiesta,the crops of which you speak are mostly destined to feed the poor cows of the meat industry veganism consists in not contributing to the mistreatment and animal suffering to see if we are learning a little bit about the party
b'gAAAAABkk1GUTEOhgJqUEN340L9N7VpEC2aghnlkS4DKtb4oW530eoo-VRJpzxYoGeWklDdGbkYzVloTKWFtk4D4IIXyYJNQlNRapNE_Hk_fH17maZREGv0=',@gourmandmed Falso dilema le dices a los nutricionistas y científicos que avalan una alimentación vegana en cualquier etapa de la vida humana ?,falso dilema le dices a los nutricionistas y científicos que avalan una alimentación vegana en cualquier etapa de la vida humana,false dilemma you tell nutritionists and scientists who endorse a vegan diet at any stage of human life
