id,text,author.id,author.public_metrics.followers_count
b'gAAAAABkk1GUZvRdNAIklEBPVjZ5WKMIolPN935kvdc7aheNav28sgUa-57LqoNT8anrTFPicv3eeM9oQ0pmy7IaJ4V0XrMVlLr-VPPvzvimCyTqbD3-oug=',@JoseCarral3 El vegetarianismo ayuda a combatir a esta gentuza.,b'gAAAAABkk1GUCvRLoaY1uhxF-gmGmdfnLXSODQum6w3rusGQLytdcTXHed3SSsx35ilrgmJlCUTywS4aNxo-XWX0oz54r8wwrA==',435
b'gAAAAABkk1GUenvuePokwYGDmW3nnkMGW2a53eTbyfaUJcC1dZZVfeGscDgR4AzAre-nTCn2F72xcoas6bEP85deSRIEnmpUMsB-LCila9dQUmTDD2CRP5A=',@Laurazul29 Jajaja mejor no digamos nada que sacará un estudio de que las estatuas también sienten para refutar a los veganos.,b'gAAAAABkk1GUZxPj1ydGo25Z03VwjFG7x4qUw_buLRzWgtJYx6BqXOjXZ6m_uulaHyr_tf18vWF5vCNn3_GqPACL8MXgX6EUIpYal7HczAbQzgIALWqmxeA=',84
b'gAAAAABkk1GUc6dSvTS29-HrgrFPXDJPDowYSl1dL-fKoW39euR6dsKCLc-2fm1foNPnrBEDGKn1Rrs5bQeWlW7FvTKbzWtLtexWtuWUaThL_VYOyRlikpI=',@nutrinsumiso @SaikoElArtista Joder pues los veganos debemos vivir en un mundo paralelo porque a mi los que me dan la brasa con preguntas incómodas de por que no como carne son los que sí la comen,b'gAAAAABkk1GUHaSSZSXkvyguYFlF7-lW8KoU1HixoTEGfKxsAXHnxCBPasqgg2-PtXrcQ1pCQWl2vpa9Lnf5OpTL7uBFph1SGCdPiW2TfUvro6iPtqCM3SQ=',50
b'gAAAAABkk1GUf-1SylwljYQmlN4J4_q2FM5CohAf4Jh9D4StxK3KZV16plyYUy5KzTVo0CbjDcbcoi81KpqaFY8h7CJ-QnDXTqB271p99RwsGeQX25mX_p0=',"Dejad de hacer ese tipo de chistes a gente vegetariana/vegana o lo que sea que sois unos pvtos pesados, por favor, que no hacen gracia, que nos los están haciendo todos los días, que nos dejéis en paz de una pvta vez",b'gAAAAABkk1GURWqE4F9snFAQ5ndCUt122gJ-yC645FJRtvgIoYpvOceOQFr1k6ZNa7r51Nmws8tsf45I-v5gXVVKjkxQmPAu5w==',363
b'gAAAAABkk1GUYpKz50REO4Qr4yVhWXkGhotxj5_6AwUhH43G39BZM4Y1dZxJ2CnrADhYQE34EG1vQ95ToaKzgtuIKnVSa2NlK7yhp7bRQDK5m-S-wpZMYJw=',@PauAlexPincel Lo entiendo y lo siento. Mi experiencia sin embargo ha sido comprobar que la gente se ofende y se siente atacada simplemente por el hecho de elegir una opción vegana en el menú de un restaurante al que vas con amigos\nYo no suelto discursos a no ser que me los pidan\nSin ataques 💚,b'gAAAAABkk1GU5k2RQYtm-ouufbDXVKE7y7OmHYCk9oB9kYESMa8wX7JTPOrv4Yp29lWA0mgaNKQLjfswfo-UHR3_vCw6ipwd0JFYhfOwP-Pyk9aYShcQsMU=',541
b'gAAAAABkk1GUv3SKRh8IKprWk7_lloPqSM3JBGbU3ZDBi6SSswRkn4dE6vHaWC_gFRk88UDumMfwOhOQDkJxcnaIBQpacp6fqB6mzaEe3WL__9OfnmpxcnM=',"Con razón, acabo de ver que terminamos en el mismo chat. Y además un vegano del otro grupo con el que ya no me llevo, les dije que mis sueños me predicen todo. https://t.co/2DGyyUWMGj https://t.co/Jiw8L1hin4",b'gAAAAABkk1GUR46amvB3mFjNZ9gfdJhNS5N_qoAh5ReiimggTsrE6cT_s8mwqqOA8zAEq415JRi8F9F65RzGzIZk40LhA3sgrQ==',573
b'gAAAAABkk1GUnuHUR0ObMXvfQVR3D9uQl1YptXF8RY9qm52Huo4Q6WkYYuqg8myZAnyUvJ82nAhDtk9Ia1VY47D8iPYA9LTzmPLZJ1kD10m5cmqW95OSWK4=',"@ivonveg9 Correcto, el tipo nunca fue vegano.",b'gAAAAABkk1GUvDS2kykPVTCR9T_B7x--uXs2_GWdGI4eGoQ8XfmIJfnAEF8ewJ9iyQ-XOfKrxtzmb88bJqGrLqehwc3A6s2Dbg==',573
b'gAAAAABkk1GUCXgAHTjqEiOH4kTtCGyt4TbByEpYtGAUEdzbCQXQ3Zfc8IounTEiXf0ntUn6Pu471ppoQXC0RVD_9rjEd2F45a1B9h37dS1jvhcRE7HOFp8=',"@libertad_vegana Yo tampoco suelo usar ese término para definirme, pero esta misma semana conversando con dos veganos por separado, me decían que mis argumentos son sensocentristas y no veganos. Y no quise entrar en detalle porque no era el tema de la discusión, pero si me generó mucha curiosidad",b'gAAAAABkk1GUFA3ioz-1Fj16125TaPmogQgwq1qvgIxCRUPcBrO7G0IS6DhAwgMQFadpKAxcDUUYlXayhF80Tb-DdeTiLz6Opw==',367
b'gAAAAABkk1GUHEag_3nJw9sQORbdRjwnNOVx6PMWDr_DTO-KT_DMwJbtM46gpRpQ1xmhF1_d0IUZvsJWzWzL9K6giSi0nN-GoKXHKXlFnxsZbt7zLU_4nag=',"@protoc0re Los cultivos de los que hablas, están destinados en su mayoría a alimentar a las pobres vacas de la industria cárnica. El veganismo consiste en no contribuir al maltrato y sufrimiento animal, a ver si nos vamos enterando un poco de la fiesta.",b'gAAAAABkk1GUqer_Ala0iA-XCEcfPCnd8JQzNtWoH_Z7tlmMoDVpbzyMPvLoM78vCKMVAqghfm5uPaFKuF3MrOzdLRgFYirP6-MDEuiLz0OGJC9s9kTnfMY=',16
b'gAAAAABkk1GUTEOhgJqUEN340L9N7VpEC2aghnlkS4DKtb4oW530eoo-VRJpzxYoGeWklDdGbkYzVloTKWFtk4D4IIXyYJNQlNRapNE_Hk_fH17maZREGv0=',@gourmandmed Falso dilema le dices a los nutricionistas y científicos que avalan una alimentación vegana en cualquier etapa de la vida humana ?,b'gAAAAABkk1GUObe1-pmk5rNlSIDXe9m86kUPetxrd01XSkP94wNMg-cbaF8siYeu3mWvtO6gCqaH7cvBbrg6usEWrffgebCpWY-S8uTngVr1yZfGHm1aMTY=',11924
b'gAAAAABkk1GUolkciaDmo-5YAg4AJ6-jcwaEGSJtIOSAL_FRjrHrisNifTqILTdc66GTpaYM2lzYG-FAw7cIah_6KRmJFYzTRN0pIprv55De_ItDAuJ8Ju0=',¿Deberíamos mercantilizar a las madres? Déjanos saber tu opinión en los comentarios 👇️\n\n👉 Ayuda gratuita para hacerte vegan: https://t.co/hQhiQsMxuQ\n\n📸 @natacha_poet\n\n#veganfta #huevosrancheros #amoranimal #desayunofitness #sinhuevo #ovarios #mujeresapoyandomujeres #eggless https://t.co/nG5Av7ZnkI,b'gAAAAABkk1GUbwdcXC1xoNGwVxmUUCsvm9OF-3U-3TqocOt0SL-bs7op6kOUW-MbLUUf8iMBwX3ZlkG7hkGhFzbClx4Yi4GooNa47HDisxqxShspaLdEmq4=',750
b'gAAAAABkk1GUoO9WJ5jCL83Z0hl3luSktWa0SE_Yi0SLJwvuHYrh7L5ex2nIcmXh4mP3WYUVySragf7LNkDjF2nWbdnRcaj2ZA3AD8Fs3FPpmmrvWXT0mWw=',.@PartidoPACMA ha sido el único partido al que le ha importado esto y expongo todo lujo de detalles en mi artículo de opinión para .@DiarioSigloXXI de manera contundente y a favor del #veganismo.\n\nhttps://t.co/TFdYeQfR0T,b'gAAAAABkk1GUA473q3JG0IJaQAfbl9L9P9WRdRxl8hj5PnViNNG3COpTlZflHBy2rfNXKJkDqGVbwWQ9j9JVBc_pnMd9renjT0RmAEQBzHFd8VL3hMXNJok=',1451
b'gAAAAABkk1GUhBX3V0ilaijS-7YPZ458_o6Ek-EeBlY9rOlri7d1UX-KXaV1OfNdnimLNN64YH6-07vwooFbZCtEQMPGbRM8tkwV-9Sq_glWxcIoxj3t1zc=',"@FariMahatma @estuveayer @PODEMOS Es decir, eres un supuesto vegano que defiendes una ley de Desprotección animal y el maltrato de millones de animales.\n\nEsto es podemos...",b'gAAAAABkk1GUjKcJ_kQ9Lbu0Vt6WQhoDY55Z6cO6JV9Um8uOs9hMIGy1_1qvSrRDTP3yB7BWztDZ9jAKfSeBCi30IqMZ0qbKnXdxrx1GEwqvwQJgNp4LGh0=',1451
b'gAAAAABkk1GUxiQpDBXKRvp1RzcF4bWEjOD7E-NNup44svWGn5pMPjsfO3hatjdLMUn3oysSucfz-PXpxcxXuCRzjpqQ-ELvhs1KHgEBBOgMSwEYICj8Ck0=',"Constante cuidado, teniendo que hacer turnos durante la noche y durmiendo menos en días de clases para poder salvar a gatos bebés, nunca hemos comprado ningún animal y llevamos +5 años siendo veganos ambos, él lleva +7 si no me equivoco. Literalmente todo lo que hemos hecho+",b'gAAAAABkk1GU6EFSwTC0ffprRiMPv-F1PU-qJU2YBGiRyL3IkIMN_jzy09tvLcNFFe3b_JMd8XmxjRzpZ7LT6qqDfPgdDRFINs4WAFt5h19Ar_NWrVckVoA=',274
b'gAAAAABkk1GUgOcx4w14yx33zO_vT3X6ukvEyLov9XwX5OSyMJkXWHnK3eeix51TcqQzw-1iW9pIJU5djDqe0RaL2eytTgAiZqYJJz39UjhuUngxVjTMhi4=',"@BrocoLooco ""Erradicación de veganismo,ideas retrógradas"",¿De dónde salió este elemento?",b'gAAAAABkk1GU3Vwyv2mZOaPH43qQTmvbAFMRkwWnDGEsJwK7E63wg8sQCN6Wc5wwXP2Oy4NL9L1SUsMH8MpBHXDt5QOmOF6Vi7ToSqg9AAreYaajTTJDi2I=',846
